prompt,response
## Founder’s CheckIn ### **Questions,for Discussion** amongst founders * _How will you describe the
Finding PMF - Prachi Pawar,and Anandmoyroy Choudhary ### **What does PMF mean for different
PMF - Prachi Pawar and,Anandmoyroy Choudhary ### **What does PMF mean for different businesses?**
- Prachi Pawar and Anandmoyroy,Choudhary ### **What does PMF mean for different businesses?** *
Prachi Pawar and Anandmoyroy Choudhary,### **What does PMF mean for different businesses?** * **Suvrat**
Pawar and Anandmoyroy Choudhary ###,**What does PMF mean for different businesses?** * **Suvrat** :
and Anandmoyroy Choudhary ### **What,does PMF mean for different businesses?** * **Suvrat** : Someone
Anandmoyroy Choudhary ### **What does,PMF mean for different businesses?** * **Suvrat** : Someone who
Choudhary ### **What does PMF,mean for different businesses?** * **Suvrat** : Someone who has
### **What does PMF mean,for different businesses?** * **Suvrat** : Someone who has run
**What does PMF mean for,different businesses?** * **Suvrat** : Someone who has run a
does PMF mean for different,businesses?** * **Suvrat** : Someone who has run a POC
PMF mean for different businesses?**,* **Suvrat** : Someone who has run a POC and
mean for different businesses?** *,**Suvrat** : Someone who has run a POC and have
for different businesses?** * **Suvrat**,: Someone who has run a POC and have tried
different businesses?** * **Suvrat** :,Someone who has run a POC and have tried is
businesses?** * **Suvrat** : Someone,who has run a POC and have tried is once
* **Suvrat** : Someone who,has run a POC and have tried is once is
**Suvrat** : Someone who has,run a POC and have tried is once is willing
: Someone who has run,a POC and have tried is once is willing to
Someone who has run a,POC and have tried is once is willing to try
who has run a POC,and have tried is once is willing to try it
has run a POC and,have tried is once is willing to try it for
run a POC and have,tried is once is willing to try it for a
a POC and have tried,is once is willing to try it for a longer
POC and have tried is,once is willing to try it for a longer term
and have tried is once,is willing to try it for a longer term period
have tried is once is,willing to try it for a longer term period *
tried is once is willing,to try it for a longer term period * **Rishabhjit**
is once is willing to,try it for a longer term period * **Rishabhjit** :
once is willing to try,it for a longer term period * **Rishabhjit** : In
is willing to try it,for a longer term period * **Rishabhjit** : In attentive
willing to try it for,a longer term period * **Rishabhjit** : In attentive -
to try it for a,longer term period * **Rishabhjit** : In attentive - Segment
try it for a longer,term period * **Rishabhjit** : In attentive - Segment that
it for a longer term,period * **Rishabhjit** : In attentive - Segment that is
for a longer term period,* **Rishabhjit** : In attentive - Segment that is better
* **Neehar from PraTech** :,B2C product - very different compared to other companies (What
**Neehar from PraTech** : B2C,product - very different compared to other companies (What was
from PraTech** : B2C product,- very different compared to other companies (What was PMF
PraTech** : B2C product -,very different compared to other companies (What was PMF was
: B2C product - very,different compared to other companies (What was PMF was tissora?)
B2C product - very different,compared to other companies (What was PMF was tissora?) *
product - very different compared,to other companies (What was PMF was tissora?) * Customer
- very different compared to,other companies (What was PMF was tissora?) * Customer Love
very different compared to other,companies (What was PMF was tissora?) * Customer Love and
different compared to other companies,(What was PMF was tissora?) * Customer Love and Customer
How well you solve the,problem for a customer, at a lower cost and at
well you solve the problem,for a customer, at a lower cost and at a
you solve the problem for,a customer, at a lower cost and at a larger
solve the problem for a,customer, at a lower cost and at a larger scale?
png?version=1&modificationDate=1661407159173&cacheVersion=1&api=v2&width=680&height=381) * **ROY** : PMF,should be measured for a **Hair on Fire** Persona *
* **ROY** : PMF should,be measured for a **Hair on Fire** Persona * **Eg**
**ROY** : PMF should be,measured for a **Hair on Fire** Persona * **Eg** \-
: PMF should be measured,for a **Hair on Fire** Persona * **Eg** \- Suvrat's
PMF should be measured for,a **Hair on Fire** Persona * **Eg** \- Suvrat's phone
should be measured for a,**Hair on Fire** Persona * **Eg** \- Suvrat's phone does
be measured for a **Hair,on Fire** Persona * **Eg** \- Suvrat's phone does not
measured for a **Hair on,Fire** Persona * **Eg** \- Suvrat's phone does not stop
Every CMO in India wants,to meet him * Even if you hand out a
CMO in India wants to,meet him * Even if you hand out a brick
in India wants to meet,him * Even if you hand out a brick who
India wants to meet him,* Even if you hand out a brick who could
wants to meet him *,Even if you hand out a brick who could reduce
to meet him * Even,if you hand out a brick who could reduce the
meet him * Even if,you hand out a brick who could reduce the fire
him * Even if you,hand out a brick who could reduce the fire by
* Even if you hand,out a brick who could reduce the fire by brief,
Even if you hand out,a brick who could reduce the fire by brief, it
if you hand out a,brick who could reduce the fire by brief, it would
you hand out a brick,who could reduce the fire by brief, it would be
hand out a brick who,could reduce the fire by brief, it would be great
out a brick who could,reduce the fire by brief, it would be great *
a brick who could reduce,the fire by brief, it would be great * If
brick who could reduce the,fire by brief, it would be great * If you
who could reduce the fire,by brief, it would be great * If you are
could reduce the fire by,brief, it would be great * If you are able
reduce the fire by brief,,it would be great * If you are able to
the fire by brief, it,would be great * If you are able to build
fire by brief, it would,be great * If you are able to build a
by brief, it would be,great * If you are able to build a loop
brief, it would be great,* If you are able to build a loop where
it would be great *,If you are able to build a loop where there
would be great * If,you are able to build a loop where there is
be great * If you,are able to build a loop where there is well
great * If you are,able to build a loop where there is well defined
* If you are able,to build a loop where there is well defined ROI
If you are able to,build a loop where there is well defined ROI that
you are able to build,a loop where there is well defined ROI that is
are able to build a,loop where there is well defined ROI that is there
able to build a loop,where there is well defined ROI that is there and
to build a loop where,there is well defined ROI that is there and take
build a loop where there,is well defined ROI that is there and take a
a loop where there is,well defined ROI that is there and take a percentage
loop where there is well,defined ROI that is there and take a percentage of
where there is well defined,ROI that is there and take a percentage of fees
there is well defined ROI,that is there and take a percentage of fees =>
is well defined ROI that,is there and take a percentage of fees => that
well defined ROI that is,there and take a percentage of fees => that is
defined ROI that is there,and take a percentage of fees => that is the
ROI that is there and,take a percentage of fees => that is the point
that is there and take,a percentage of fees => that is the point when
is there and take a,percentage of fees => that is the point when you
there and take a percentage,of fees => that is the point when you have
and take a percentage of,fees => that is the point when you have PMF
take a percentage of fees,=> that is the point when you have PMF *
a percentage of fees =>,that is the point when you have PMF * Who
percentage of fees => that,is the point when you have PMF * Who signs
of fees => that is,the point when you have PMF * Who signs the
fees => that is the,point when you have PMF * Who signs the cheque
=> that is the point,when you have PMF * Who signs the cheque till
that is the point when,you have PMF * Who signs the cheque till the
is the point when you,have PMF * Who signs the cheque till the money
the point when you have,PMF * Who signs the cheque till the money comes
point when you have PMF,* Who signs the cheque till the money comes into
when you have PMF *,Who signs the cheque till the money comes into your
you have PMF * Who,signs the cheque till the money comes into your account
have PMF * Who signs,the cheque till the money comes into your account -
PMF * Who signs the,cheque till the money comes into your account - until
* Who signs the cheque,till the money comes into your account - until that
Who signs the cheque till,the money comes into your account - until that is
signs the cheque till the,money comes into your account - until that is figured
the cheque till the money,comes into your account - until that is figured out
cheque till the money comes,into your account - until that is figured out in
till the money comes into,your account - until that is figured out in the
the money comes into your,account - until that is figured out in the enterprise
money comes into your account,- until that is figured out in the enterprise company,
comes into your account -,until that is figured out in the enterprise company, it
into your account - until,that is figured out in the enterprise company, it is
your account - until that,is figured out in the enterprise company, it is not
account - until that is,figured out in the enterprise company, it is not going
- until that is figured,out in the enterprise company, it is not going to
until that is figured out,in the enterprise company, it is not going to work
that is figured out in,the enterprise company, it is not going to work *
is figured out in the,enterprise company, it is not going to work * **LTV
figured out in the enterprise,company, it is not going to work * **LTV to
out in the enterprise company,,it is not going to work * **LTV to CAC**
in the enterprise company, it,is not going to work * **LTV to CAC** :
the enterprise company, it is,not going to work * **LTV to CAC** : Huge
enterprise company, it is not,going to work * **LTV to CAC** : Huge customer
company, it is not going,to work * **LTV to CAC** : Huge customer love
it is not going to,work * **LTV to CAC** : Huge customer love but
is not going to work,* **LTV to CAC** : Huge customer love but the
not going to work *,**LTV to CAC** : Huge customer love but the LTV
going to work * **LTV,to CAC** : Huge customer love but the LTV to
to work * **LTV to,CAC** : Huge customer love but the LTV to CAC
work * **LTV to CAC**,: Huge customer love but the LTV to CAC was
Basically if you lose money,on every order, most customers will love your product, but
if you lose money on,every order, most customers will love your product, but you
you lose money on every,order, most customers will love your product, but you don't
lose money on every order,,most customers will love your product, but you don't have
This is why unit economics,matter a lot in a transaction business * **If I
is why unit economics matter,a lot in a transaction business * **If I make
why unit economics matter a,lot in a transaction business * **If I make short
unit economics matter a lot,in a transaction business * **If I make short term
economics matter a lot in,a transaction business * **If I make short term choices
matter a lot in a,transaction business * **If I make short term choices now,
a lot in a transaction,business * **If I make short term choices now, will
lot in a transaction business,* **If I make short term choices now, will it
in a transaction business *,**If I make short term choices now, will it hurt
a transaction business * **If,I make short term choices now, will it hurt my
transaction business * **If I,make short term choices now, will it hurt my longer
business * **If I make,short term choices now, will it hurt my longer term
* **If I make short,term choices now, will it hurt my longer term ability?**
**If I make short term,choices now, will it hurt my longer term ability?** *
I make short term choices,now, will it hurt my longer term ability?** * You
make short term choices now,,will it hurt my longer term ability?** * You don’t
short term choices now, will,it hurt my longer term ability?** * You don’t win
term choices now, will it,hurt my longer term ability?** * You don’t win that
choices now, will it hurt,my longer term ability?** * You don’t win that ability
now, will it hurt my,longer term ability?** * You don’t win that ability to
will it hurt my longer,term ability?** * You don’t win that ability to scale
it hurt my longer term,ability?** * You don’t win that ability to scale unless
hurt my longer term ability?**,* You don’t win that ability to scale unless you
my longer term ability?** *,You don’t win that ability to scale unless you win
longer term ability?** * You,don’t win that ability to scale unless you win the
term ability?** * You don’t,win that ability to scale unless you win the point
ability?** * You don’t win,that ability to scale unless you win the point right
* Reality of life is,if you understand your persona well that they can adopt
Reality of life is if,you understand your persona well that they can adopt and
of life is if you,understand your persona well that they can adopt and create
life is if you understand,your persona well that they can adopt and create value
is if you understand your,persona well that they can adopt and create value for
if you understand your persona,well that they can adopt and create value for them
you understand your persona well,that they can adopt and create value for them =>
understand your persona well that,they can adopt and create value for them => that
your persona well that they,can adopt and create value for them => that allows
persona well that they can,adopt and create value for them => that allows them
well that they can adopt,and create value for them => that allows them to
that they can adopt and,create value for them => that allows them to expand
they can adopt and create,value for them => that allows them to expand and
can adopt and create value,for them => that allows them to expand and do
adopt and create value for,them => that allows them to expand and do more
and create value for them,=> that allows them to expand and do more *
create value for them =>,that allows them to expand and do more * **MVP**
value for them => that,allows them to expand and do more * **MVP** :
for them => that allows,them to expand and do more * **MVP** : Another
them => that allows them,to expand and do more * **MVP** : Another problem
=> that allows them to,expand and do more * **MVP** : Another problem is
that allows them to expand,and do more * **MVP** : Another problem is sometimes
allows them to expand and,do more * **MVP** : Another problem is sometimes people
them to expand and do,more * **MVP** : Another problem is sometimes people don’t
to expand and do more,* **MVP** : Another problem is sometimes people don’t complete
expand and do more *,**MVP** : Another problem is sometimes people don’t complete the
* **Create a very niche,definition** and don’t fear that you are locking yourself out
**Create a very niche definition**,and don’t fear that you are locking yourself out of
a very niche definition** and,don’t fear that you are locking yourself out of 20
very niche definition** and don’t,fear that you are locking yourself out of 20 other
The reality is until you,win in an early space, you will anyways not be
reality is until you win,in an early space, you will anyways not be able
is until you win in,an early space, you will anyways not be able to
until you win in an,early space, you will anyways not be able to scale
you win in an early,space, you will anyways not be able to scale *
win in an early space,,you will anyways not be able to scale * **ICP
in an early space, you,will anyways not be able to scale * **ICP Personas
an early space, you will,anyways not be able to scale * **ICP Personas for
early space, you will anyways,not be able to scale * **ICP Personas for different
space, you will anyways not,be able to scale * **ICP Personas for different Companies**
you will anyways not be,able to scale * **ICP Personas for different Companies** *
com/spreadsheets/d/1KZv8RLHvmu-84020hILeKiTOgd6V2EyCyDg6rupZ-yM/edit#gid=0> * Enterprise companies make,a mistake of not closing the loop in terms of
* Enterprise companies make a,mistake of not closing the loop in terms of value/ROI
Enterprise companies make a mistake,of not closing the loop in terms of value/ROI *
companies make a mistake of,not closing the loop in terms of value/ROI * **Axes
make a mistake of not,closing the loop in terms of value/ROI * **Axes of
a mistake of not closing,the loop in terms of value/ROI * **Axes of Measuring
mistake of not closing the,loop in terms of value/ROI * **Axes of Measuring PMF**
of not closing the loop,in terms of value/ROI * **Axes of Measuring PMF** *
not closing the loop in,terms of value/ROI * **Axes of Measuring PMF** * Customer
closing the loop in terms,of value/ROI * **Axes of Measuring PMF** * Customer Love
the loop in terms of,value/ROI * **Axes of Measuring PMF** * Customer Love *
loop in terms of value/ROI,* **Axes of Measuring PMF** * Customer Love * Metrics
in terms of value/ROI *,**Axes of Measuring PMF** * Customer Love * Metrics :
terms of value/ROI * **Axes,of Measuring PMF** * Customer Love * Metrics : Dollar
of value/ROI * **Axes of,Measuring PMF** * Customer Love * Metrics : Dollar and
value/ROI * **Axes of Measuring,PMF** * Customer Love * Metrics : Dollar and marketing
* **Axes of Measuring PMF**,* Customer Love * Metrics : Dollar and marketing metrics
**Axes of Measuring PMF** *,Customer Love * Metrics : Dollar and marketing metrics *
of Measuring PMF** * Customer,Love * Metrics : Dollar and marketing metrics * Scale
Measuring PMF** * Customer Love,* Metrics : Dollar and marketing metrics * Scale *
PMF** * Customer Love *,Metrics : Dollar and marketing metrics * Scale * Getting
* Customer Love * Metrics,: Dollar and marketing metrics * Scale * Getting access
Customer Love * Metrics :,Dollar and marketing metrics * Scale * Getting access to
Love * Metrics : Dollar,and marketing metrics * Scale * Getting access to Lenny’s
* Metrics : Dollar and,marketing metrics * Scale * Getting access to Lenny’s NewsLetter
Metrics : Dollar and marketing,metrics * Scale * Getting access to Lenny’s NewsLetter →
: Dollar and marketing metrics,* Scale * Getting access to Lenny’s NewsLetter → Discount
Dollar and marketing metrics *,Scale * Getting access to Lenny’s NewsLetter → Discount code
and marketing metrics * Scale,* Getting access to Lenny’s NewsLetter → Discount code for
marketing metrics * Scale *,Getting access to Lenny’s NewsLetter → Discount code for Lenny's
metrics * Scale * Getting,access to Lenny’s NewsLetter → Discount code for Lenny's newsletter:
com/Rvbia885k9ujBqkw8> * If you have,to fund the purchase or usage of the Product, you
* If you have to,fund the purchase or usage of the Product, you don’t
If you have to fund,the purchase or usage of the Product, you don’t have
you have to fund the,purchase or usage of the Product, you don’t have PMF
have to fund the purchase,or usage of the Product, you don’t have PMF *
to fund the purchase or,usage of the Product, you don’t have PMF * **Notes**
fund the purchase or usage,of the Product, you don’t have PMF * **Notes** :
the purchase or usage of,the Product, you don’t have PMF * **Notes** : The
purchase or usage of the,Product, you don’t have PMF * **Notes** : The input
or usage of the Product,,you don’t have PMF * **Notes** : The input to
usage of the Product, you,don’t have PMF * **Notes** : The input to LTV
of the Product, you don’t,have PMF * **Notes** : The input to LTV is
the Product, you don’t have,PMF * **Notes** : The input to LTV is retention
Product, you don’t have PMF,* **Notes** : The input to LTV is retention rate
you don’t have PMF *,**Notes** : The input to LTV is retention rate %
don’t have PMF * **Notes**,: The input to LTV is retention rate % -
have PMF * **Notes** :,The input to LTV is retention rate % - so
PMF * **Notes** : The,input to LTV is retention rate % - so you
* **Notes** : The input,to LTV is retention rate % - so you would
**Notes** : The input to,LTV is retention rate % - so you would want
: The input to LTV,is retention rate % - so you would want to
The input to LTV is,retention rate % - so you would want to estimate
input to LTV is retention,rate % - so you would want to estimate if
to LTV is retention rate,% - so you would want to estimate if x%
LTV is retention rate %,- so you would want to estimate if x% is
is retention rate % -,so you would want to estimate if x% is coming
retention rate % - so,you would want to estimate if x% is coming back
rate % - so you,would want to estimate if x% is coming back with
% - so you would,want to estimate if x% is coming back with y
- so you would want,to estimate if x% is coming back with y AOV
so you would want to,estimate if x% is coming back with y AOV -
you would want to estimate,if x% is coming back with y AOV - this
would want to estimate if,x% is coming back with y AOV - this could
want to estimate if x%,is coming back with y AOV - this could be
to estimate if x% is,coming back with y AOV - this could be the
But you also should have,an idea of what frequency of usage is for your
you also should have an,idea of what frequency of usage is for your product
com/spreadsheets/d/1KZv8RLHvmu-84020hILeKiTOgd6V2EyCyDg6rupZ-yM/edit#gid=776536940> * **Airalo and Scaler**,: Very iterative PMF journeys * Try to be default
* **Airalo and Scaler** :,Very iterative PMF journeys * Try to be default alive
**Airalo and Scaler** : Very,iterative PMF journeys * Try to be default alive if
and Scaler** : Very iterative,PMF journeys * Try to be default alive if nothing
Scaler** : Very iterative PMF,journeys * Try to be default alive if nothing is
: Very iterative PMF journeys,* Try to be default alive if nothing is working
Very iterative PMF journeys *,Try to be default alive if nothing is working atleast
iterative PMF journeys * Try,to be default alive if nothing is working atleast ________________________________________________________________________________________________
PMF journeys * Try to,be default alive if nothing is working atleast ________________________________________________________________________________________________ ##
journeys * Try to be,default alive if nothing is working atleast ________________________________________________________________________________________________ ## AMA:
* Try to be default,alive if nothing is working atleast ________________________________________________________________________________________________ ## AMA: Gaurav
Try to be default alive,if nothing is working atleast ________________________________________________________________________________________________ ## AMA: Gaurav Sharma
to be default alive if,nothing is working atleast ________________________________________________________________________________________________ ## AMA: Gaurav Sharma [[
co/&sa=D&source=calendar&ust=1661848318124398&usg=AOvVaw3l4lq-u511vTbCI029Z94r)] in conversation with Tejeshwi,Sharma: Talking about journey to PMF * **Saas Labs** \-
in conversation with Tejeshwi Sharma:,Talking about journey to PMF * **Saas Labs** \- Hubspot
conversation with Tejeshwi Sharma: Talking,about journey to PMF * **Saas Labs** \- Hubspot for
with Tejeshwi Sharma: Talking about,journey to PMF * **Saas Labs** \- Hubspot for Sales
Tejeshwi Sharma: Talking about journey,to PMF * **Saas Labs** \- Hubspot for Sales and
Sharma: Talking about journey to,PMF * **Saas Labs** \- Hubspot for Sales and Customer
Talking about journey to PMF,* **Saas Labs** \- Hubspot for Sales and Customer Support
about journey to PMF *,**Saas Labs** \- Hubspot for Sales and Customer Support team
journey to PMF * **Saas,Labs** \- Hubspot for Sales and Customer Support team *
to PMF * **Saas Labs**,\- Hubspot for Sales and Customer Support team * BootStrapped;
PMF * **Saas Labs** \-,Hubspot for Sales and Customer Support team * BootStrapped; Only
* **Saas Labs** \- Hubspot,for Sales and Customer Support team * BootStrapped; Only 2
**Saas Labs** \- Hubspot for,Sales and Customer Support team * BootStrapped; Only 2 institutional
Labs** \- Hubspot for Sales,and Customer Support team * BootStrapped; Only 2 institutional rounds
\- Hubspot for Sales and,Customer Support team * BootStrapped; Only 2 institutional rounds later
Hubspot for Sales and Customer,Support team * BootStrapped; Only 2 institutional rounds later *
for Sales and Customer Support,team * BootStrapped; Only 2 institutional rounds later * **PMF**
Sales and Customer Support team,* BootStrapped; Only 2 institutional rounds later * **PMF** :
and Customer Support team *,BootStrapped; Only 2 institutional rounds later * **PMF** : You
Customer Support team * BootStrapped;,Only 2 institutional rounds later * **PMF** : You don’t
Support team * BootStrapped; Only,2 institutional rounds later * **PMF** : You don’t need
team * BootStrapped; Only 2,institutional rounds later * **PMF** : You don’t need a
* BootStrapped; Only 2 institutional,rounds later * **PMF** : You don’t need a lot
BootStrapped; Only 2 institutional rounds,later * **PMF** : You don’t need a lot of
Only 2 institutional rounds later,* **PMF** : You don’t need a lot of money
2 institutional rounds later *,**PMF** : You don’t need a lot of money to
institutional rounds later * **PMF**,: You don’t need a lot of money to reach
rounds later * **PMF** :,You don’t need a lot of money to reach Product
later * **PMF** : You,don’t need a lot of money to reach Product Market
* **PMF** : You don’t,need a lot of money to reach Product Market Fit
**PMF** : You don’t need,a lot of money to reach Product Market Fit *
: You don’t need a,lot of money to reach Product Market Fit * Money
You don’t need a lot,of money to reach Product Market Fit * Money is
don’t need a lot of,money to reach Product Market Fit * Money is not
need a lot of money,to reach Product Market Fit * Money is not the
a lot of money to,reach Product Market Fit * Money is not the bottleneck
lot of money to reach,Product Market Fit * Money is not the bottleneck in
of money to reach Product,Market Fit * Money is not the bottleneck in getting
money to reach Product Market,Fit * Money is not the bottleneck in getting to
to reach Product Market Fit,* Money is not the bottleneck in getting to PMF
reach Product Market Fit *,Money is not the bottleneck in getting to PMF *
Product Market Fit * Money,is not the bottleneck in getting to PMF * Created
Market Fit * Money is,not the bottleneck in getting to PMF * Created one
Fit * Money is not,the bottleneck in getting to PMF * Created one mistake
* Money is not the,bottleneck in getting to PMF * Created one mistake in
Money is not the bottleneck,in getting to PMF * Created one mistake in the
is not the bottleneck in,getting to PMF * Created one mistake in the 1st
not the bottleneck in getting,to PMF * Created one mistake in the 1st Product:
the bottleneck in getting to,PMF * Created one mistake in the 1st Product: Not
bottleneck in getting to PMF,* Created one mistake in the 1st Product: Not charging
in getting to PMF *,Created one mistake in the 1st Product: Not charging enough
getting to PMF * Created,one mistake in the 1st Product: Not charging enough for
to PMF * Created one,mistake in the 1st Product: Not charging enough for your
PMF * Created one mistake,in the 1st Product: Not charging enough for your product
* Created one mistake in,the 1st Product: Not charging enough for your product *
Created one mistake in the,1st Product: Not charging enough for your product * To
one mistake in the 1st,Product: Not charging enough for your product * To create
mistake in the 1st Product:,Not charging enough for your product * To create a
in the 1st Product: Not,charging enough for your product * To create a big
the 1st Product: Not charging,enough for your product * To create a big business,
1st Product: Not charging enough,for your product * To create a big business, you
Product: Not charging enough for,your product * To create a big business, you have
Not charging enough for your,product * To create a big business, you have to
charging enough for your product,* To create a big business, you have to be
enough for your product *,To create a big business, you have to be a
for your product * To,create a big business, you have to be a champion
your product * To create,a big business, you have to be a champion of
product * To create a,big business, you have to be a champion of a
* To create a big,business, you have to be a champion of a Job
Eg - Adobe is a,champion of Designers * **PMF** : No matter whoever you
- Adobe is a champion,of Designers * **PMF** : No matter whoever you hire,
Adobe is a champion of,Designers * **PMF** : No matter whoever you hire, you
is a champion of Designers,* **PMF** : No matter whoever you hire, you still
a champion of Designers *,**PMF** : No matter whoever you hire, you still feel
champion of Designers * **PMF**,: No matter whoever you hire, you still feel things
of Designers * **PMF** :,No matter whoever you hire, you still feel things are
SUCKING sound from the market,* Product and story matters a lot ! Product inside
sound from the market *,Product and story matters a lot ! Product inside looks
from the market * Product,and story matters a lot ! Product inside looks the
* Just the wrapper of,pricing changed and boom, we hit the inflection point *
Just the wrapper of pricing,changed and boom, we hit the inflection point * Product
the wrapper of pricing changed,and boom, we hit the inflection point * Product is
wrapper of pricing changed and,boom, we hit the inflection point * Product is the
of pricing changed and boom,,we hit the inflection point * Product is the last
pricing changed and boom, we,hit the inflection point * Product is the last touch
changed and boom, we hit,the inflection point * Product is the last touch point
and boom, we hit the,inflection point * Product is the last touch point for
**Perception and Distribution** is more,important in early days => Will I lose my job
* Complains are okay -,People are engaging with product - that’s good and not
Complains are okay - People,are engaging with product - that’s good and not bad
are okay - People are,engaging with product - that’s good and not bad *
okay - People are engaging,with product - that’s good and not bad * If
- People are engaging with,product - that’s good and not bad * If people
People are engaging with product,- that’s good and not bad * If people are
are engaging with product -,that’s good and not bad * If people are not
engaging with product - that’s,good and not bad * If people are not saying
with product - that’s good,and not bad * If people are not saying anything,
product - that’s good and,not bad * If people are not saying anything, that
- that’s good and not,bad * If people are not saying anything, that is
* **Biggest Metric I tried**,: $ per employee - 100K$ per employee revenue and
**Biggest Metric I tried** :,$ per employee - 100K$ per employee revenue and 50%
* **Another Product thing** :,More feature requests and less bug reports as you start
**Another Product thing** : More,feature requests and less bug reports as you start growing
Product thing** : More feature,requests and less bug reports as you start growing *
thing** : More feature requests,and less bug reports as you start growing * **Engineers**
: More feature requests and,less bug reports as you start growing * **Engineers** should
More feature requests and less,bug reports as you start growing * **Engineers** should be
feature requests and less bug,reports as you start growing * **Engineers** should be close
requests and less bug reports,as you start growing * **Engineers** should be close to
and less bug reports as,you start growing * **Engineers** should be close to the
less bug reports as you,start growing * **Engineers** should be close to the Customers
bug reports as you start,growing * **Engineers** should be close to the Customers *
reports as you start growing,* **Engineers** should be close to the Customers * When
as you start growing *,**Engineers** should be close to the Customers * When creating
you start growing * **Engineers**,should be close to the Customers * When creating a
start growing * **Engineers** should,be close to the Customers * When creating a category,
growing * **Engineers** should be,close to the Customers * When creating a category, you
* **Engineers** should be close,to the Customers * When creating a category, you will
**Engineers** should be close to,the Customers * When creating a category, you will have
should be close to the,Customers * When creating a category, you will have to
be close to the Customers,* When creating a category, you will have to do
close to the Customers *,When creating a category, you will have to do a
to the Customers * When,creating a category, you will have to do a lot
the Customers * When creating,a category, you will have to do a lot of
Customers * When creating a,category, you will have to do a lot of education
* When creating a category,,you will have to do a lot of education of
* **Don’t see what others,are doing but see what is the competitive advantage you
**Don’t see what others are,doing but see what is the competitive advantage you have**
see what others are doing,but see what is the competitive advantage you have** *
what others are doing but,see what is the competitive advantage you have** * Eg:
others are doing but see,what is the competitive advantage you have** * Eg: First
are doing but see what,is the competitive advantage you have** * Eg: First few
doing but see what is,the competitive advantage you have** * Eg: First few years,
but see what is the,competitive advantage you have** * Eg: First few years, we
see what is the competitive,advantage you have** * Eg: First few years, we used
what is the competitive advantage,you have** * Eg: First few years, we used just
is the competitive advantage you,have** * Eg: First few years, we used just Customer
the competitive advantage you have**,* Eg: First few years, we used just Customer Support
competitive advantage you have** *,Eg: First few years, we used just Customer Support as
advantage you have** * Eg:,First few years, we used just Customer Support as the
you have** * Eg: First,few years, we used just Customer Support as the competitive
have** * Eg: First few,years, we used just Customer Support as the competitive advantage
* Eg: First few years,,we used just Customer Support as the competitive advantage *
Eg: First few years, we,used just Customer Support as the competitive advantage * **Q:**
First few years, we used,just Customer Support as the competitive advantage * **Q:** How
few years, we used just,Customer Support as the competitive advantage * **Q:** How did
years, we used just Customer,Support as the competitive advantage * **Q:** How did you
we used just Customer Support,as the competitive advantage * **Q:** How did you build
used just Customer Support as,the competitive advantage * **Q:** How did you build the
just Customer Support as the,competitive advantage * **Q:** How did you build the culture
Customer Support as the competitive,advantage * **Q:** How did you build the culture of
Support as the competitive advantage,* **Q:** How did you build the culture of experimentation
as the competitive advantage *,**Q:** How did you build the culture of experimentation and
the competitive advantage * **Q:**,How did you build the culture of experimentation and giving
competitive advantage * **Q:** How,did you build the culture of experimentation and giving in
advantage * **Q:** How did,you build the culture of experimentation and giving in to
* **Consistent Messaging** * We,are building something great * Small small wins celebrations *
**Consistent Messaging** * We are,building something great * Small small wins celebrations * Celebrate
Messaging** * We are building,something great * Small small wins celebrations * Celebrate and
* We are building something,great * Small small wins celebrations * Celebrate and drink
We are building something great,* Small small wins celebrations * Celebrate and drink *
are building something great *,Small small wins celebrations * Celebrate and drink * Become
building something great * Small,small wins celebrations * Celebrate and drink * Become personal
something great * Small small,wins celebrations * Celebrate and drink * Become personal *
great * Small small wins,celebrations * Celebrate and drink * Become personal * It
* Small small wins celebrations,* Celebrate and drink * Become personal * It cannot
Small small wins celebrations *,Celebrate and drink * Become personal * It cannot happen
small wins celebrations * Celebrate,and drink * Become personal * It cannot happen transactionally
wins celebrations * Celebrate and,drink * Become personal * It cannot happen transactionally *
celebrations * Celebrate and drink,* Become personal * It cannot happen transactionally * Consider
* Celebrate and drink *,Become personal * It cannot happen transactionally * Consider it
Celebrate and drink * Become,personal * It cannot happen transactionally * Consider it as
and drink * Become personal,* It cannot happen transactionally * Consider it as a
drink * Become personal *,It cannot happen transactionally * Consider it as a SIP
* Become personal * It,cannot happen transactionally * Consider it as a SIP investment
Become personal * It cannot,happen transactionally * Consider it as a SIP investment *
personal * It cannot happen,transactionally * Consider it as a SIP investment * **Monthly
* It cannot happen transactionally,* Consider it as a SIP investment * **Monthly Townhall**
It cannot happen transactionally *,Consider it as a SIP investment * **Monthly Townhall** *
cannot happen transactionally * Consider,it as a SIP investment * **Monthly Townhall** * Not
happen transactionally * Consider it,as a SIP investment * **Monthly Townhall** * Not in
transactionally * Consider it as,a SIP investment * **Monthly Townhall** * Not in a
* Consider it as a,SIP investment * **Monthly Townhall** * Not in a boring
Consider it as a SIP,investment * **Monthly Townhall** * Not in a boring manner,
it as a SIP investment,* **Monthly Townhall** * Not in a boring manner, but
as a SIP investment *,**Monthly Townhall** * Not in a boring manner, but in
a SIP investment * **Monthly,Townhall** * Not in a boring manner, but in a
SIP investment * **Monthly Townhall**,* Not in a boring manner, but in a nice
investment * **Monthly Townhall** *,Not in a boring manner, but in a nice manner
* **Monthly Townhall** * Not,in a boring manner, but in a nice manner -
**Monthly Townhall** * Not in,a boring manner, but in a nice manner - Repeat
